countID,weekID,parcode,counttype,countn,parish,date,year,month
1888976,1760/04,ANWS,buried,17,St Anne Soho,1760-01-02T00:00:00Z,1760,1
1888977,1760/04,CLED,buried,2,St Clement Danes,1760-01-02T00:00:00Z,1760,1
1888978,1760/04,GEHS,buried,16,St George Hanover Square,1760-01-02T00:00:00Z,1760,1
1888979,1760/04,JSFI,buried,20,St James Westminster,1760-01-02T00:00:00Z,1760,1
1888981,1760/04,MRGW,buried,13,St Margaret Westminster,1760-01-02T00:00:00Z,1760,1
1888982,1760/04,MITF,buried,16,St Martin in the Fields,1760-01-02T00:00:00Z,1760,1
1889287,1760/05,CLED,buried,11,St Clement Danes,1760-01-09T00:00:00Z,1760,1
1889288,1760/05,GEHS,buried,16,St George Hanover Square,1760-01-09T00:00:00Z,1760,1
1889289,1760/05,JSFI,buried,18,St James Westminster,1760-01-09T00:00:00Z,1760,1
1889290,1760/05,JEVW,buried,5,St John the Evangelist Westminster,1760-01-09T00:00:00Z,1760,1
1889291,1760/05,MRGW,buried,25,St Margaret Westminster,1760-01-09T00:00:00Z,1760,1
1889292,1760/05,MITF,buried,22,St Martin in the Fields,1760-01-09T00:00:00Z,1760,1
1889293,1760/05,MALS,buried,4,St Mary le Strand,1760-01-09T00:00:00Z,1760,1
1889295,1760/05,PCOV,buried,13,St Paul Covent Garden,1760-01-09T00:00:00Z,1760,1
1889596,1760/06,ANWS,buried,14,St Anne Soho,1760-01-16T00:00:00Z,1760,1
1889597,1760/06,CLED,buried,8,St Clement Danes,1760-01-16T00:00:00Z,1760,1
1889598,1760/06,GEHS,buried,14,St George Hanover Square,1760-01-16T00:00:00Z,1760,1
1889599,1760/06,JSFI,buried,27,St James Westminster,1760-01-16T00:00:00Z,1760,1
1889601,1760/06,MRGW,buried,17,St Margaret Westminster,1760-01-16T00:00:00Z,1760,1
1889602,1760/06,MITF,buried,24,St Martin in the Fields,1760-01-16T00:00:00Z,1760,1
1889906,1760/07,ANWS,buried,8,St Anne Soho,1760-01-23T00:00:00Z,1760,1
1889907,1760/07,CLED,buried,15,St Clement Danes,1760-01-23T00:00:00Z,1760,1
1889908,1760/07,GEHS,buried,15,St George Hanover Square,1760-01-23T00:00:00Z,1760,1
1889909,1760/07,JSFI,buried,17,St James Westminster,1760-01-23T00:00:00Z,1760,1
1889910,1760/07,JEVW,buried,12,St John the Evangelist Westminster,1760-01-23T00:00:00Z,1760,1
1889911,1760/07,MRGW,buried,25,St Margaret Westminster,1760-01-23T00:00:00Z,1760,1
1889912,1760/07,MITF,buried,23,St Martin in the Fields,1760-01-23T00:00:00Z,1760,1
1889913,1760/07,MALS,buried,4,St Mary le Strand,1760-01-23T00:00:00Z,1760,1
1890217,1760/08,CLED,buried,5,St Clement Danes,1760-01-30T00:00:00Z,1760,1
1890218,1760/08,GEHS,buried,15,St George Hanover Square,1760-01-30T00:00:00Z,1760,1
1890219,1760/08,JSFI,buried,21,St James Westminster,1760-01-30T00:00:00Z,1760,1
1890221,1760/08,MRGW,buried,22,St Margaret Westminster,1760-01-30T00:00:00Z,1760,1
1890222,1760/08,MITF,buried,25,St Martin in the Fields,1760-01-30T00:00:00Z,1760,1
1890225,1760/08,PCOV,buried,16,St Paul Covent Garden,1760-01-30T00:00:00Z,1760,1
1890526,1760/09,ANWS,buried,7,St Anne Soho,1760-02-06T00:00:00Z,1760,2
